order_purchase_timestamp,revenue
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,396.9
2017-01-06,916.38
2017-01-07,1351.9
2017-01-08,449.78
2017-01-09,673.79
2017-01-10,1434.87
2017-01-11,1855.27
2017-01-12,1478.5900000000001
2017-01-13,2450.68
2017-01-14,876.89
2017-01-15,2199.5699999999997
2017-01-16,3275.02
2017-01-17,3302.5299999999997
2017-01-18,3216.49
2017-01-19,3553.95
2017-01-20,4035.83
2017-01-21,2313.71
2017-01-22,3619.27
2017-01-23,6299.22
2017-01-24,5155.3
2017-01-25,7114.95
2017-01-26,12907.97
2017-01-27,11178.95
2017-01-28,5056.01
2017-01-29,5966.76
2017-01-30,10241.15
2017-01-31,10476.63
2017-02-01,7538.77
2017-02-02,8813.65
2017-02-03,9641.82
2017-02-04,13599.27
2017-02-05,8406.89
2017-02-06,9399.76
2017-02-07,13704.69
2017-02-08,11550.69
2017-02-09,8971.6
2017-02-10,13142.34
2017-02-11,4307.56
2017-02-12,14922.35
2017-02-13,10136.15
2017-02-14,10885.41
2017-02-15,6526.87
2017-02-16,5823.14
2017-02-17,6801.26
2017-02-18,7297.33
2017-02-19,3564.83
2017-02-20,7156.41
2017-02-21,8023.17
2017-02-22,5935.72
2017-02-23,6271.34
2017-02-24,6630.12
2017-02-25,3573.69
2017-02-26,5132.49
2017-02-27,5764.32
2017-02-28,10701.76
2017-03-01,12203.41
2017-03-02,11164.5
2017-03-03,12364.44
2017-03-04,8594.74
2017-03-05,6662.93
2017-03-06,8618.039999999999
2017-03-07,11388.62
2017-03-08,13178.97
2017-03-09,10976.84
2017-03-10,11916.08
2017-03-11,10513.41
2017-03-12,6496.17
2017-03-13,16351.460000000001
2017-03-14,13935.57
2017-03-15,14362.04
2017-03-16,14134.44
2017-03-17,11910.5
2017-03-18,16145.92
2017-03-19,6649.34
2017-03-20,16861.09
2017-03-21,11311.15
2017-03-22,14150.98
2017-03-23,16073.78
2017-03-24,10094.57
2017-03-25,9301.89
2017-03-26,6101.05
2017-03-27,16186.17
2017-03-28,11420.22
2017-03-29,8164.14
2017-03-30,9795.61
2017-03-31,12170.78
2017-04-01,17518.47
2017-04-02,8999.89
2017-04-03,8843.07
2017-04-04,12301.65
2017-04-05,18328.24
2017-04-06,19130.49
2017-04-07,12932.49
2017-04-08,8457.09
2017-04-09,7715.85
2017-04-10,11378.51
2017-04-11,6972.61
2017-04-12,7790.21
2017-04-13,9691.43
2017-04-14,6704.19
2017-04-15,8210.19
2017-04-16,5025.96
2017-04-17,7432.09
2017-04-18,21286.72
2017-04-19,11755.68
2017-04-20,12300.64
2017-04-21,8426.27
2017-04-22,12761.18
2017-04-23,9904.05
2017-04-24,13026.85
2017-04-25,13747.460000000001
2017-04-26,15365.59
2017-04-27,9521.93
2017-04-28,15585.79
2017-04-29,11573.73
2017-04-30,7981.36
2017-05-01,11786.89
2017-05-02,17304.91
2017-05-03,10037.06
2017-05-04,13493.56
2017-05-05,13622.07
2017-05-06,14328.28
2017-05-07,16303.380000000001
2017-05-08,15873.06
2017-05-09,20525.66
2017-05-10,20445.829999999998
2017-05-11,18058.66
2017-05-12,11656.75
2017-05-13,8353.97
2017-05-14,14252.0
2017-05-15,17679.45
2017-05-16,21050.99
2017-05-17,18130.96
2017-05-18,18205.14
2017-05-19,17490.170000000002
2017-05-20,10538.41
2017-05-21,17175.21
2017-05-22,23970.52
2017-05-23,17246.9
2017-05-24,23310.97
2017-05-25,15084.9
2017-05-26,10411.18
2017-05-27,13340.72
2017-05-28,9262.62
2017-05-29,17669.670000000002
2017-05-30,13497.69
2017-05-31,19230.67
2017-06-01,19287.35
2017-06-02,18597.55
2017-06-03,10432.85
2017-06-04,13693.74
2017-06-05,23204.89
2017-06-06,13559.85
2017-06-07,12498.67
2017-06-08,18379.38
2017-06-09,15921.35
2017-06-10,7941.56
2017-06-11,14114.66
2017-06-12,14279.98
2017-06-13,13803.4
2017-06-14,20309.95
2017-06-15,12079.87
2017-06-16,12722.34
2017-06-17,11024.62
2017-06-18,15706.28
2017-06-19,22231.41
2017-06-20,10658.53
2017-06-21,6135.75
2017-06-22,8458.62
2017-06-23,12690.09
2017-06-24,8146.75
2017-06-25,17000.09
2017-06-26,12977.97
2017-06-27,16681.61
2017-06-28,14477.84
2017-06-29,12169.53
2017-06-30,12736.89
2017-07-01,11434.35
2017-07-02,11220.56
2017-07-03,15201.36
2017-07-04,15219.25
2017-07-05,20533.02
2017-07-06,20870.58
2017-07-07,13158.890000000001
2017-07-08,10206.86
2017-07-09,8070.58
2017-07-10,17326.93
2017-07-11,19135.99
2017-07-12,18564.4
2017-07-13,14325.51
2017-07-14,18595.16
2017-07-15,10880.66
2017-07-16,12627.74
2017-07-17,21349.98
2017-07-18,27935.2
2017-07-19,16171.41
2017-07-20,17839.28
2017-07-21,12629.05
2017-07-22,11426.81
