,forecast,lower_80,upper_80
2018-08-24,21190.966390651538,8791.071869745749,33590.86091155733
2018-08-25,16488.40532700632,2809.012328291059,30167.798325721582
2018-08-26,19017.94334694938,4735.336595410834,33300.55009848793
2018-08-27,28994.470160558387,14243.870793110826,43745.069528005944
2018-08-28,27553.58593109479,12374.76440475699,42732.407457432586
2018-08-29,26783.33398064637,11194.161205466255,42372.506755826485
2018-08-30,24867.72476938926,8880.22372449607,40855.22581428245
2018-08-31,22891.15974049395,6308.335088490243,39473.98439249766
2018-09-01,16644.930133622016,-400.5438286755889,33690.40409591962
2018-09-02,18795.705778230695,1325.5352071428824,36265.87634931851
2018-09-03,28700.010297900237,10821.442664931059,46578.57793086942
2018-09-04,27333.185805833193,9056.87410817165,45609.497503494735
2018-09-05,26643.12045971397,7977.914968792102,45308.32595063584
2018-09-06,24747.324279020355,5701.255298202883,43793.39325983783
2018-09-07,22669.28966545619,3108.40106821683,42230.17826269555
2018-09-08,16397.535313765216,-3588.6477545179805,36383.71838204841
2018-09-09,18542.047390933505,-1842.6625630556991,38926.757344922706
2018-09-10,28445.155993147353,7673.926123949626,49216.38586234508
2018-09-11,27079.549544866877,5929.944569246683,48229.15452048707
2018-09-12,26390.804370050904,4869.742915356466,47911.86582474534
2018-09-13,24495.334383856534,2609.184582702259,46381.484185010806
2018-09-14,22415.628652952364,41.75236511219555,44789.50494079253
2018-09-15,16143.453930514814,-6638.13572975327,38925.043590782894
2018-09-16,18287.862852032857,-4877.854309696722,41453.58001376243
2018-09-17,28190.951758397285,4651.386584734577,51730.516932059996
2018-09-18,26825.365369836207,2918.7975882273895,50731.933151445024
2018-09-19,26136.64193674536,1868.8684993606803,50404.41537413004
2018-09-20,24241.177322604563,-382.4439113454828,48864.79855655461
2018-09-21,22161.4440702563,-2932.62924122555,47255.51738173815
2018-09-22,15889.26242478006,-9601.737841619211,41380.262691179334
2018-09-23,18033.669647439263,-7832.810237180409,43900.14953205893
2018-09-24,27936.758229434952,1703.9347262198826,54169.581732650026
2018-09-25,26571.172171235117,-22.00761109038649,53164.35195356062
2018-09-26,25882.44909620628,-1066.0355501877748,52830.93374260033
2018-09-27,23986.98457053722,-3312.124477687732,51286.09361876217
2018-09-28,21907.25086494141,-5850.753527409906,49665.25525729272
2018-09-29,15635.069105450428,-12513.214589906962,43783.352800807814
2018-09-30,17779.476300131315,-10739.218652838616,46298.171253101245
2018-10-01,27682.564876785014,-1198.226350887213,56563.35610445724
2018-10-02,26316.97882402586,-2920.53013527656,55554.48778332828
2018-10-03,25628.255754893908,-3961.449061057392,55217.96057084521
2018-10-04,23732.791230681883,-6204.91265317615,53670.49511453992
2018-10-05,21653.05751762159,-8735.748850879154,52041.86388612233
2018-10-06,15380.875756252914,-15394.299766651271,46156.051279157095
2018-10-07,17525.282950473033,-13617.617282930521,48668.18318387659
2018-10-08,27428.371527038755,-4074.5582965473113,58931.301350624824
2018-10-09,26062.7854743692,-5795.249327868118,57920.82027660652
2018-10-10,25374.062405334364,-6834.9501392917555,57583.074949960486
2018-10-11,23478.597881146332,-9077.557359181596,56034.75312147426
2018-10-12,21398.864167963107,-11603.21134270843,54400.93967863465
2018-10-13,15126.682406563508,-18259.75185023844,48513.11666336546
2018-10-14,17271.08960077604,-16482.041188796364,51024.22039034844
2018-10-15,27174.178177340313,-6938.4400540135175,61286.79640869414
2018-10-16,25808.59212467224,-8658.940452254374,60276.12470159885
2018-10-17,25119.869055639,-9698.75578568368,59938.49389696168
2018-10-18,23224.404531451364,-11941.757933816967,58390.566996719695
2018-10-19,21144.670818266113,-14464.111123849249,56753.45276038148
2018-10-20,14872.489056866003,-21120.00743549408,50864.98554922609
2018-10-21,17016.896251078408,-19342.463042917774,53376.255545074586
2018-10-22,26919.984827642653,-9799.420727445973,63639.390382731275
2018-10-23,25554.398774974605,-11520.760409930972,62629.557959880185
2018-10-24,24865.67570594139,-12561.65799973821,62293.009411620995
2018-10-25,22970.211181753763,-14805.96605126678,60746.38841477431
2018-10-26,20890.47746856848,-17326.415127073178,59107.37006421013
2018-10-27,14618.295707168361,-23982.677072918093,53219.26848725482
2018-10-28,16762.702901380762,-22206.181897397488,55731.58770015901
2018-10-29,26665.791477945008,-12664.513499637622,65996.09645552764
2018-10-30,25300.205425276956,-14387.456365149486,64987.8672157034
2018-10-31,24611.48235624374,-15430.1552666534,64653.11997914089
2018-11-01,22716.017832056114,-17676.447213420903,63108.482877533126
2018-11-02,20636.28411887083,-20196.053676142325,61468.62191388398
2018-11-03,14364.10235747071,-26853.44386777111,55581.64858271253
2018-11-04,16508.509551683113,-25078.663923638953,58095.68302700518
2018-11-05,26411.59812824736,-15538.98465109877,68362.18090759349
2018-11-06,25046.012075579307,-17264.107852801597,67356.13200396021
2018-11-07,24357.289006546092,-18309.15188625659,67023.72989934878
2018-11-08,22461.824482358465,-20557.940950045693,65481.58991476262
2018-11-09,20382.09076917318,-23077.52702500198,63841.70856334834
2018-11-10,14109.909007773062,-29736.631249496775,57956.4492650429
2018-11-11,16254.316201985464,-27964.076926723617,60472.709330694546
2018-11-12,26157.40477854971,-18426.858128975495,70741.66768607491
2018-11-13,24791.818725881658,-20154.60399574444,69738.24144750775
2018-11-14,24103.095656848443,-21202.410080534715,69408.6013942316
2018-11-15,22207.631132660816,-23454.08981130359,67869.35207662522
2018-11-16,20127.897419475532,-25974.302351174363,66230.09719012542
2018-11-17,13855.715658075413,-32635.57668439671,60347.00800054753
2018-11-18,16000.122852287815,-30865.643962232316,62865.88966680795
2018-11-19,25903.21142885206,-21331.25095898765,73137.67381669176
2018-11-20,24537.62537618401,-23061.962192823226,72137.21294519125
2018-11-21,23848.902307150795,-24112.853243531772,71810.65785783336
